Team 1,Team 2,Odds 1,Odds 2,Year
Kolkata Knight Riders,Mumbai Indians,1.85,1.90,2012
Pune Warriors India,Royal Challengers Bengaluru,2.58,1.47,2012
Rajasthan Royals,Chennai Super Kings,2.10,1.69,2012
Deccan Chargers,Delhi Capitals,2.51,1.50,2012
Mumbai Indians,Royal Challengers Bengaluru,1.95,1.80,2012
Deccan Chargers,Punjab Kings,2.00,1.75,2012
Pune Warriors India,Rajasthan Royals,1.98,1.78,2012
Delhi Capitals,Kolkata Knight Riders,1.72,2.10,2012
Royal Challengers Bengaluru,Deccan Chargers,1.54,2.40,2012
Mumbai Indians,Chennai Super Kings,1.90,1.85,2012
Punjab Kings,Rajasthan Royals,1.80,1.95,2012
Kolkata Knight Riders,Pune Warriors India,1.59,2.29,2012
Chennai Super Kings,Deccan Chargers,1.55,2.38,2012
Pune Warriors India,Mumbai Indians,2.25,1.61,2012
Rajasthan Royals,Delhi Capitals,2.25,1.61,2012
Deccan Chargers,Pune Warriors India,2.10,1.69,2012
Chennai Super Kings,Kolkata Knight Riders,1.73,2.03,2012
Mumbai Indians,Deccan Chargers,1.56,2.33,2012
Delhi Capitals,Rajasthan Royals,1.56,2.33,2012
Kolkata Knight Riders,Royal Challengers Bengaluru,2.07,1.71,2012
Chennai Super Kings,Punjab Kings,1.54,2.40,2012
Delhi Capitals,Mumbai Indians,1.71,2.07,2012
Pune Warriors India,Deccan Chargers,1.69,2.10,2012
Royal Challengers Bengaluru,Chennai Super Kings,1.83,1.93,2012
Punjab Kings,Mumbai Indians,2.40,1.54,2012
Kolkata Knight Riders,Deccan Chargers,1.57,2.31,2012
Pune Warriors India,Delhi Capitals,2.29,1.59,2012
Rajasthan Royals,Royal Challengers Bengaluru,2.31,1.57,2012
Deccan Chargers,Kolkata Knight Riders,2.25,1.61,2012
Mumbai Indians,Punjab Kings,1.53,2.43,2012
Delhi Capitals,Pune Warriors India,1.57,2.35,2012
Chennai Super Kings,Rajasthan Royals,1.62,2.22,2012
Punjab Kings,Royal Challengers Bengaluru,2.58,1.47,2012
Chennai Super Kings,Pune Warriors India,1.61,2.25,2012
Delhi Capitals,Deccan Chargers,1.50,2.51,2012
Punjab Kings,Kolkata Knight Riders,2.27,1.59,2012
Royal Challengers Bengaluru,Pune Warriors India,1.61,2.24,2012
Rajasthan Royals,Deccan Chargers,1.63,2.20,2012
Mumbai Indians,Delhi Capitals,1.88,1.88,2012
Royal Challengers Bengaluru,Rajasthan Royals,1.50,2.51,2012
Kolkata Knight Riders,Punjab Kings,1.57,2.35,2012
Pune Warriors India,Chennai Super Kings,2.40,1.54,2012
Kolkata Knight Riders,Rajasthan Royals,1.63,2.20,2012
Punjab Kings,Pune Warriors India,2.08,1.71,2012
Chennai Super Kings,Royal Challengers Bengaluru,1.85,1.90,2012
Mumbai Indians,Rajasthan Royals,1.57,2.31,2012
Delhi Capitals,Chennai Super Kings,2.12,1.68,2012
Royal Challengers Bengaluru,Kolkata Knight Riders,1.65,2.15,2012
Deccan Chargers,Mumbai Indians,2.65,1.44,2012
Pune Warriors India,Punjab Kings,1.88,1.88,2012
Rajasthan Royals,Kolkata Knight Riders,2.29,1.59,2012
Deccan Chargers,Chennai Super Kings,2.50,1.53,2012
Royal Challengers Bengaluru,Delhi Capitals,1.65,2.15,2012
Rajasthan Royals,Punjab Kings,1.95,1.81,2012
Mumbai Indians,Pune Warriors India,1.43,2.70,2012
Kolkata Knight Riders,Delhi Capitals,1.63,2.20,2012
Chennai Super Kings,Mumbai Indians,1.90,1.85,2012
Mumbai Indians,Royal Challengers Bengaluru,1.64,2.21,2011
Mumbai Indians,Kolkata Knight Riders,1.55,2.41,2011
Royal Challengers Bengaluru,Chennai Super Kings,2.05,1.73,2011
Kolkata Knight Riders,Mumbai Indians,2.29,1.59,2011
Royal Challengers Bengaluru,Chennai Super Kings,1.88,1.88,2011
Delhi Capitals,Pune Warriors India,2.03,1.76,2011
Punjab Kings,Deccan Chargers,1.40,2.81,2011
Mumbai Indians,Rajasthan Royals,1.25,3.75,2011
Pune Warriors India,Kolkata Knight Riders,2.51,1.51,2011
Chennai Super Kings,Kerala,1.37,3.08,2011
Punjab Kings,Royal Challengers Bengaluru,2.46,1.54,2011
Pune Warriors India,Deccan Chargers,1.59,2.29,2011
Kerala,Rajasthan Royals,1.66,2.15,2011
Punjab Kings,Delhi Capitals,1.61,2.29,2011
Mumbai Indians,Deccan Chargers,1.33,3.25,2011
Royal Challengers Bengaluru,Kolkata Knight Riders,1.73,2.03,2011
Kerala,Punjab Kings,1.88,1.88,2011
Chennai Super Kings,Delhi Capitals,1.33,3.25,2011
Rajasthan Royals,Royal Challengers Bengaluru,2.65,1.44,2011
Punjab Kings,Mumbai Indians,2.85,1.40,2011
Deccan Chargers,Pune Warriors India,1.90,1.85,2011
Rajasthan Royals,Chennai Super Kings,2.29,1.59,2011
Punjab Kings,Pune Warriors India,2.05,1.73,2011
Royal Challengers Bengaluru,Kerala,1.50,2.51,2011
Mumbai Indians,Delhi Capitals,1.52,2.45,2011
Kolkata Knight Riders,Chennai Super Kings,1.98,1.78,2011
Royal Challengers Bengaluru,Punjab Kings,1.54,2.39,2011
Deccan Chargers,Delhi Capitals,2.20,1.63,2011
Kerala,Kolkata Knight Riders,2.46,1.53,2011
Pune Warriors India,Mumbai Indians,2.56,1.50,2011
Chennai Super Kings,Rajasthan Royals,1.57,2.35,2011
Deccan Chargers,Kolkata Knight Riders,2.29,1.59,2011
Delhi Capitals,Kerala,1.61,2.25,2011
Mumbai Indians,Punjab Kings,1.42,2.73,2011
Chennai Super Kings,Deccan Chargers,1.54,2.39,2011
Rajasthan Royals,Pune Warriors India,1.78,2.00,2011
Kolkata Knight Riders,Punjab Kings,1.64,2.20,2011
Kerala,Delhi Capitals,2.11,1.68,2011
Royal Challengers Bengaluru,Pune Warriors India,1.64,2.20,2011
Rajasthan Royals,Mumbai Indians,2.51,1.50,2011
Delhi Capitals,Kolkata Knight Riders,2.00,1.80,2011
Kerala,Deccan Chargers,1.71,2.05,2011
Pune Warriors India,Chennai Super Kings,2.10,1.69,2011
Delhi Capitals,Royal Challengers Bengaluru,2.03,1.73,2011
Chennai Super Kings,Pune Warriors India,1.63,2.20,2011
Rajasthan Royals,Kerala,1.83,1.95,2011
Deccan Chargers,Mumbai Indians,2.40,1.54,2011
Delhi Capitals,Punjab Kings,1.75,2.00,2011
Mumbai Indians,Chennai Super Kings,1.73,2.05,2011
Kolkata Knight Riders,Royal Challengers Bengaluru,1.86,1.90,2011
Punjab Kings,Rajasthan Royals,1.72,2.05,2011
Kolkata Knight Riders,Kerala,1.63,2.22,2011
Mumbai Indians,Pune Warriors India,1.59,2.29,2011
Royal Challengers Bengaluru,Rajasthan Royals,1.72,2.10,2011
Delhi Capitals,Deccan Chargers,1.63,2.20,2011
Kerala,Chennai Super Kings,2.26,1.59,2011
Kolkata Knight Riders,Rajasthan Royals,1.63,2.18,2011
Pune Warriors India,Delhi Capitals,1.66,2.20,2011
Deccan Chargers,Punjab Kings,1.69,2.10,2011
Chennai Super Kings,Royal Challengers Bengaluru,1.57,2.37,2011
Mumbai Indians,Kerala,1.40,2.81,2011
Rajasthan Royals,Kolkata Knight Riders,2.10,1.69,2011
Deccan Chargers,Royal Challengers Bengaluru,2.50,1.53,2011
Pune Warriors India,Kerala,1.61,2.25,2011
Punjab Kings,Chennai Super Kings,2.98,1.38,2011
Royal Challengers Bengaluru,Mumbai Indians,2.20,1.63,2011
Rajasthan Royals,Delhi Capitals,1.95,1.81,2011
Kolkata Knight Riders,Deccan Chargers,1.61,2.25,2011
Pune Warriors India,Punjab Kings,1.61,2.25,2011
Delhi Capitals,Mumbai Indians,2.41,1.54,2011
Kerala,Royal Challengers Bengaluru,2.10,1.70,2011
Deccan Chargers,Rajasthan Royals,1.61,2.25,2011
Chennai Super Kings,Kolkata Knight Riders,1.67,2.15,2011
Mumbai Indians,Chennai Super Kings,1.78,1.98,2010
Royal Challengers Bengaluru,Deccan Chargers,1.72,2.10,2010
Chennai Super Kings,Deccan Chargers,1.73,2.03,2010
Royal Challengers Bengaluru,Mumbai Indians,2.10,1.69,2010
Kolkata Knight Riders,Mumbai Indians,1.83,1.93,2010
Delhi Capitals,Deccan Chargers,1.73,2.03,2010
Punjab Kings,Chennai Super Kings,2.31,1.57,2010
Kolkata Knight Riders,Rajasthan Royals,1.88,1.88,2010
Royal Challengers Bengaluru,Mumbai Indians,1.83,1.93,2010
Punjab Kings,Deccan Chargers,2.15,1.65,2010
Chennai Super Kings,Delhi Capitals,1.90,1.90,2010
Rajasthan Royals,Royal Challengers Bengaluru,2.03,1.73,2010
Chennai Super Kings,Kolkata Knight Riders,1.71,2.05,2010
Mumbai Indians,Delhi Capitals,2.05,1.71,2010
Deccan Chargers,Royal Challengers Bengaluru,2.03,1.73,2010
Rajasthan Royals,Mumbai Indians,2.00,1.75,2010
Delhi Capitals,Punjab Kings,1.55,2.36,2010
Royal Challengers Bengaluru,Kolkata Knight Riders,1.67,2.13,2010
Deccan Chargers,Chennai Super Kings,2.18,1.64,2010
Punjab Kings,Mumbai Indians,2.27,1.58,2010
Royal Challengers Bengaluru,Deccan Chargers,1.61,2.22,2010
Kolkata Knight Riders,Delhi Capitals,2.29,1.59,2010
Rajasthan Royals,Punjab Kings,1.71,2.05,2010
Chennai Super Kings,Mumbai Indians,1.98,1.78,2010
Deccan Chargers,Rajasthan Royals,1.85,1.90,2010
Delhi Capitals,Royal Challengers Bengaluru,1.78,1.98,2010
Kolkata Knight Riders,Punjab Kings,1.62,2.23,2010
Mumbai Indians,Deccan Chargers,1.64,2.15,2010
Chennai Super Kings,Rajasthan Royals,1.71,2.05,2010
Punjab Kings,Royal Challengers Bengaluru,2.31,1.57,2010
Kolkata Knight Riders,Deccan Chargers,2.15,1.65,2010
Delhi Capitals,Rajasthan Royals,1.63,2.18,2010
Chennai Super Kings,Royal Challengers Bengaluru,2.10,1.69,2010
Mumbai Indians,Punjab Kings,1.54,2.44,2010
Delhi Capitals,Kolkata Knight Riders,1.61,2.23,2010
Deccan Chargers,Mumbai Indians,2.15,1.65,2010
Rajasthan Royals,Chennai Super Kings,2.10,1.69,2010
Punjab Kings,Kolkata Knight Riders,1.83,1.93,2010
Rajasthan Royals,Deccan Chargers,2.29,1.58,2010
Punjab Kings,Rajasthan Royals,1.63,2.18,2010
Royal Challengers Bengaluru,Chennai Super Kings,1.76,2.00,2010
Mumbai Indians,Kolkata Knight Riders,1.57,2.31,2010
Chennai Super Kings,Punjab Kings,1.59,2.29,2010
Deccan Chargers,Delhi Capitals,2.00,1.80,2010
Mumbai Indians,Royal Challengers Bengaluru,1.65,2.15,2010
Rajasthan Royals,Kolkata Knight Riders,2.56,1.48,2010
Deccan Chargers,Punjab Kings,1.65,2.15,2010
Delhi Capitals,Chennai Super Kings,1.61,2.25,2010
Royal Challengers Bengaluru,Rajasthan Royals,1.48,2.56,2010
Delhi Capitals,Mumbai Indians,1.71,2.05,2010
Kolkata Knight Riders,Chennai Super Kings,1.98,1.78,2010
Royal Challengers Bengaluru,Punjab Kings,1.78,1.98,2010
Rajasthan Royals,Delhi Capitals,2.43,1.53,2010
Punjab Kings,Delhi Capitals,2.25,1.61,2010
Mumbai Indians,Rajasthan Royals,1.63,2.20,2010
Deccan Chargers,Kolkata Knight Riders,1.56,2.36,2010
